1,Assisted-Dips,The Assisted Dip is a helpful upper-body exercise that builds triceps and chest strength using support to ease the movement.,Assisted Dips,Assistance Machine/M bands,Eccentric/Concentric,5,70-130° shoulder flexion,2,3,2,false,false,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/11/assisted.dip_.gif?resize=600%2C589&ssl=1
2,Band-Assisted-Bench-Press,"The Band Assisted Bench Press uses resistance bands to reduce load and guide your form, making it a friendly introduction to pressing strength.",Band Assisted Bench Press,Barbell/Bands,Eccentric/Concentric,3,60-90° shoulder flexion,2,2,2,false,false,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/05/bench-with-band-assistance.gif?resize=600%2C600&ssl=1
3,Bar-Dip,The Bar Dip is a classic bodyweight exercise known for targeting the triceps and chest while demanding a fair amount of upper-body control.,Bar Dip,Parallel Bars,Eccentric/Concentric,7,70-130° shoulder flexion,3,3,2,false,false,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/02/Dips.gif?resize=600%2C600&ssl=1
4,Bench-Press,"The Bench Press is one of the most popular chest exercises, celebrated for its effectiveness in building upper-body power.",Bench Press,Barbell/Bench,Eccentric/Concentric,10,60-90° shoulder flexion,2,2,3,false,true,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/09/bench-press.gif?resize=600%2C600&ssl=1
5,Bench-Press-Against-Band,"The Bench Press Against Band variation adds elastic resistance to your press, helping refine stability and strength simultaneously.",Bench Press Against Band,Barbell/Bands,Eccentric/Concentric,4,60-90° shoulder flexion,2,2,3,false,true,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/05/bench-against-band.gif?resize=600%2C600&ssl=1
6,Board-Press,The Board Press is a specialized variation that shortens the range of motion to help improve lockout strength in your bench press.,Board Press,Barbell/Boards,Eccentric/Concentric,2,30-60° shoulder flexion,1,1,3,false,true,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2024/05/board-bench-press.gif?resize=600%2C600&ssl=1
7,Cable-Chest-Press,"The Cable Chest Press delivers smooth, constant tension on the chest muscles, offering a controlled alternative to free weights.",Cable Chest Press,Cable Machine,Eccentric/Concentric,6,60-120° shoulder flexion,1,1,1,false,false,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/cable-chest-press.gif?resize=600%2C600&ssl=1
8,Close-Grip-Bench-Press,"The Close Grip Bench Press focuses on the triceps and inner chest, making it a precise variation for targeted strength.",Close Grip Bench Press,Barbell/Bench,Eccentric/Concentric,8,50-80° shoulder flexion,2,2,3,false,true,Chest/Triceps,Chest/Triceps,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2021/09/Close-grip-bench-press.gif?resize=600%2C600&ssl=1
9,Close-Grip-Feet-up-Bench-Press,"The Close Grip Feet-up Bench Press challenges stability by removing lower body support, engaging both the upper body and core.",Close Grip Feet up Bench Press,Barbell/Bench,Eccentric/Concentric,1,50-80° shoulder flexion,3,3,3,false,true,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Close-Grip-Feet-Up-Bench-Press.gif?resize=600%2C600&ssl=1
10,Decline-Bench-Press,"The Decline Bench Press targets the lower chest through an angled movement, adding variety to your pressing routine.",Decline Bench Press,Barbell/Decline Bench,Eccentric/Concentric,7,50-80° shoulder flexion,2,2,3,false,true,Chest,Chest,2025-04-11 21:33:33.146731,2025-04-11 21:33:33.146731,https://i0.wp.com/www.strengthlog.com/wp-content/uploads/2020/03/Decline-Bench-Press.gif?resize=600%2C600&ssl=1
